dataset,seed,sample_id,condition,certified_radius,certifiable,at_ceiling
ciciomt2024,1,s703422,A1_misdirection,0.034973,1,0
ciciomt2024,1,s691962,A1_misdirection,0.0,0,0
ciciomt2024,1,s314730,A1_misdirection,0.098295,1,1
ciciomt2024,1,s270993,A1_misdirection,0.0,0,0
ciciomt2024,1,s602463,A1_misdirection,0.000527,1,0
ciciomt2024,1,s670678,A1_misdirection,0.098295,1,1
ciciomt2024,1,s584696,A1_misdirection,0.021675,1,0
ciciomt2024,1,s657686,A1_misdirection,0.0,0,0
ciciomt2024,1,s169401,A1_misdirection,0.0,0,0
ciciomt2024,1,s741909,A1_misdirection,0.0,0,0
ciciomt2024,1,s303847,A1_misdirection,0.0,0,0
ciciomt2024,1,s252273,A1_misdirection,0.0,0,0
ciciomt2024,1,s733344,A1_misdirection,0.0,0,0
ciciomt2024,1,s266013,A1_misdirection,0.0,0,0
ciciomt2024,1,s663697,A1_misdirection,0.0,0,0
ciciomt2024,1,s230424,A1_misdirection,0.0,0,0
ciciomt2024,1,s749936,A1_misdirection,0.0,0,0
ciciomt2024,1,s603943,A1_misdirection,0.012378,1,0
ciciomt2024,1,s716226,A1_misdirection,0.0,0,0
ciciomt2024,1,s690745,A1_misdirection,0.000527,1,0
ciciomt2024,1,s637892,A1_misdirection,0.0,0,0
ciciomt2024,1,s691839,A1_misdirection,0.000527,1,0
ciciomt2024,1,s772556,A1_misdirection,0.012378,1,0
ciciomt2024,1,s211390,A1_misdirection,0.038002,1,0
ciciomt2024,1,s653518,A1_misdirection,0.013499,1,0
ciciomt2024,1,s192759,A1_misdirection,0.005827,1,0
ciciomt2024,1,s211744,A1_misdirection,0.003694,1,0
ciciomt2024,1,s777900,A1_misdirection,0.0,0,0
ciciomt2024,1,s662359,A1_misdirection,0.015771,1,0
ciciomt2024,1,s196930,A1_misdirection,0.0,0,0
ciciomt2024,1,s716860,A1_misdirection,0.0,0,0
ciciomt2024,1,s271423,A1_misdirection,0.0,0,0
ciciomt2024,1,s643074,A1_misdirection,0.0,0,0
ciciomt2024,1,s693174,A1_misdirection,0.013499,1,0
ciciomt2024,1,s713676,A1_misdirection,0.0,0,0
ciciomt2024,1,s287875,A1_misdirection,0.021675,1,0
ciciomt2024,1,s630353,A1_misdirection,0.002635,1,0
ciciomt2024,1,s192712,A1_misdirection,0.007983,1,0
ciciomt2024,1,s253445,A1_misdirection,0.0,0,0
ciciomt2024,1,s654164,A1_misdirection,0.0,0,0
ciciomt2024,1,s720302,A1_misdirection,0.098295,1,1
ciciomt2024,1,s757385,A1_misdirection,0.098295,1,1
ciciomt2024,1,s700617,A1_misdirection,0.038002,1,0
ciciomt2024,1,s189452,A1_misdirection,0.0,0,0
ciciomt2024,1,s679979,A1_misdirection,0.0,0,0
ciciomt2024,1,s222680,A1_misdirection,0.0,0,0
ciciomt2024,1,s734307,A1_misdirection,0.0,0,0
ciciomt2024,1,s594141,A1_misdirection,0.0,0,0
ciciomt2024,1,s611433,A1_misdirection,0.0,0,0
ciciomt2024,1,s297694,A1_misdirection,0.0,0,0
ciciomt2024,1,s593579,A1_misdirection,0.0,0,0
